,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
11,2019,Acre,Privada,29.41706,3599.794
14,2019,Acre,Pública,28.88777,4072.805
17,2019,Amazonas,Estadual,30.00491,4690.828
20,2019,Amazonas,Privada,32.38911,3328.51
23,2019,Amazonas,Pública,28.27123,4263.834
26,2019,Roraima,Estadual,39.99201,5023.318
29,2019,Roraima,Privada,29.4709,3151.832
32,2019,Roraima,Pública,35.35403,4695.105
35,2019,Pará,Estadual,20.56422,11108.98
38,2019,Pará,Privada,28.43911,2903.22
41,2019,Pará,Pública,29.43145,5512.365
44,2019,Amapá,Estadual,38.86576,6705.702
47,2019,Amapá,Privada,32.45803,2507.146
50,2019,Amapá,Pública,39.40499,5845.382
53,2019,Tocantins,Estadual,39.99857,3884.288
56,2019,Tocantins,Privada,29.57983,3403.399
59,2019,Tocantins,Pública,36.61961,4011.177
62,2019,Maranhão,Estadual,20.2056,12281.47
65,2019,Maranhão,Privada,30.13189,2411.95
68,2019,Maranhão,Pública,25.49625,4581.3
71,2019,Piauí,Estadual,30.16678,3492.018
74,2019,Piauí,Privada,27.87933,2819.386
77,2019,Piauí,Pública,32.9935,3817.332
80,2019,Ceará,Estadual,29.57609,3810.774
83,2019,Ceará,Privada,31.15433,2150.519
86,2019,Ceará,Pública,29.22972,3915.998
89,2019,Rio Grande do Norte,Estadual,30.61109,4410.612
92,2019,Rio Grande do Norte,Privada,32.17744,2134.767
95,2019,Rio Grande do Norte,Pública,31.04867,4978.235
98,2019,Paraíba,Estadual,30.00894,3103.397
101,2019,Paraíba,Privada,26.70903,2252.403
104,2019,Paraíba,Pública,34.68143,3308.797
107,2019,Pernambuco,Estadual,36.91461,3296.646
110,2019,Pernambuco,Privada,30.23217,2571.818
113,2019,Pernambuco,Pública,36.01818,3520.174
116,2019,Alagoas,Estadual,22.50018,3668.415
119,2019,Alagoas,Privada,29.25106,2224.767
122,2019,Alagoas,Pública,27.08945,4054.132
125,2019,Sergipe,Estadual,39.79713,4920.798
128,2019,Sergipe,Privada,31.9719,1985.041
131,2019,Sergipe,Pública,38.13399,4881.245
134,2019,Bahia,Estadual,34.17822,7955.545
137,2019,Bahia,Privada,29.7854,2670.513
140,2019,Bahia,Pública,30.38386,5278.258
143,2019,Minas Gerais,Estadual,24.35287,4809.289
146,2019,Minas Gerais,Privada,27.16997,3977.284
149,2019,Minas Gerais,Pública,25.20507,4795.953
152,2019,Espírito Santo,Estadual,29.30049,3853.563
155,2019,Espírito Santo,Privada,27.95084,3859.886
158,2019,Espírito Santo,Pública,26.30657,4662.894
161,2019,Rio de Janeiro,Estadual,25.66058,4233.37
164,2019,Rio de Janeiro,Privada,28.71893,3372.981
167,2019,Rio de Janeiro,Pública,29.26878,5141.353
170,2019,São Paulo,Estadual,33.6573,3853.294
173,2019,São Paulo,Privada,31.07135,4155.523
176,2019,São Paulo,Pública,32.88072,4788.236
179,2019,Paraná,Estadual,23.08416,6717.217
182,2019,Paraná,Privada,28.07854,3462.273
185,2019,Paraná,Pública,24.54786,5546.747
188,2019,Santa Catarina,Estadual,24.55926,4981.754
191,2019,Santa Catarina,Privada,29.49957,3674.449
194,2019,Santa Catarina,Pública,29.05261,4940.353
197,2019,Rio Grande do Sul,Estadual,31.18431,3270.386
200,2019,Rio Grande do Sul,Privada,27.39433,3955.73
203,2019,Rio Grande do Sul,Pública,26.57589,4841.248
206,2019,Mato Grosso do Sul,Estadual,20.66738,8338.815
209,2019,Mato Grosso do Sul,Privada,27.04449,3888.01
212,2019,Mato Grosso do Sul,Pública,22.07452,6866.13
215,2019,Mato Grosso,Estadual,39.99961,3729.3
218,2019,Mato Grosso,Privada,27.40301,4185.787
221,2019,Mato Grosso,Pública,35.2179,4416.733
224,2019,Goiás,Estadual,39.87103,3982.776
227,2019,Goiás,Privada,29.57989,3269.838
230,2019,Goiás,Pública,35.94426,4922.65
233,2019,Distrito Federal,Estadual,34.30264,7625.281
236,2019,Distrito Federal,Privada,27.49213,5544.385
239,2019,Distrito Federal,Pública,34.45577,7784.274
2,2020,Rondônia,Privada,27.00418,3056.432
5,2020,Rondônia,Pública,34.95463,4281.216
8,2020,Acre,Estadual,26.73618,4441.76
11,2020,Acre,Privada,30.09036,3252.076
14,2020,Acre,Pública,29.99667,3781.577
17,2020,Amazonas,Estadual,30.00358,4858.558
20,2020,Amazonas,Privada,31.56115,3315.604
23,2020,Amazonas,Pública,29.18968,4259.939
26,2020,Roraima,Estadual,39.98827,4823.356
29,2020,Roraima,Privada,27.22749,3382.058
32,2020,Roraima,Pública,35.39817,4604.518
35,2020,Pará,Estadual,20.41021,11447.48
38,2020,Pará,Privada,28.10293,2857.044
41,2020,Pará,Pública,29.41605,5907.513
44,2020,Amapá,Estadual,39.1524,6495.555
